@relation corpus_sms-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement

@attribute text string
@attribute classID {ham,spam}

@data
'* Will be september by then!',ham
'Cool, want me to go to kappa or should I meet you outside mu',ham
'Hi my email address has changed now it is',ham
'Jordan got voted out last nite!',ham
'Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx',ham
'Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:',ham
'Shall call now dear having food',ham
'what I meant to say is cant wait to see u again getting bored of this bridgwater banter',ham
'Babe, Im back ... Come back to me ...',ham
'To day class is there are no class.',ham
'Pls confirm the time to collect the cheque.',ham
'Wot is u up 2 then bitch?',ham
'I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon',ham
'How much for an eighth?',ham
'Sorry sent blank msg again. Yup but trying 2 do some serious studying now.',ham
'I cant pick the phone right now. Pls send a message',ham
'Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow',ham
'Me too baby! I promise to treat you well! I bet you will take good care of me...',ham
'Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...',ham
'So when do you wanna gym harri',ham
'Aaooooright are you at work?',ham
'dont make ne plans for nxt wknd coz she wants us to come down then ok',ham
'A cute thought for friendship: \"Its not necessary to share every secret with ur close Frnd, but watever u shared should be true\"....',ham
'When i have stuff to sell i.ll tell you',ham
'Hmmm ... And imagine after youve come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?',ham
'An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen ull knw the truth ull hate urself[EMOJI] Gn[EMOJI]',ham
'Ok i thk i got it. Then u wan me 2 come now or wat?',ham
'Sounds great! Are you home now?',ham
'Yes, princess. Toledo.',ham
'Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being SIMPLE is very difficult...[EMOJI] [EMOJI]',ham
'Shb b ok lor... Thanx...',ham
'I miss you so much Im so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you',ham
'Ya very nice. . .be ready on thursday',ham
'Yes [EMOJI]it completely in out of form[EMOJI]clark also utter waste.',ham
'Dude got a haircut. Now its breezy up there',ham
'Or ü go buy wif him then i meet ü later can?',ham
'Lol ... I really need to remember to eat when Im drinking but I do appreciate you keeping me company that night babe *smiles*',ham
'Alright, were all set here, text the man',ham
'\"AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"',ham
'I called and said all to him[EMOJI]then he have to choose this future.',ham
'Ü dun wan to watch infernal affair?',ham
'When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\t know that Iam addicted to my sweet Friends..!! BSLVYL',ham
'So lets make it saturday or monday as per convenience.',ham
'The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.',ham
'Quite ok but a bit ex... U better go eat smth now else ill feel guilty...',ham
'Wat happened to the cruise thing',ham
'Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.',ham
'I am in your office na.',ham
'Dear we got  &lt;#&gt;  dollars hi hi',ham
'Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..',ham
'Prepare to be pleasured [EMOJI]',ham
'U too...',ham
'Wat r u doing?',ham
'Just glad to be talking to you.',ham
'In that case I guess Ill see you at campus lodge',ham
'This is one of the days you have a billion classes, right?',ham
'Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...',ham
Ok.,ham
'Enjoy ur life. . Good night',ham
'Hey anyway i have to [EMOJI]',ham
